,marca,modelo,anio,carroceria,traccion,combustible,transmision,asientos,color,kilometraje,verificacion,precio
0,tesla,model 3,2018-01-01,sedan,4x4,electrico,automatica,cuero vegano,red multi-coat,44000,93.0,55000
1,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
2,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
3,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
4,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
5,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
6,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
7,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
8,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
9,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
10,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
11,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
12,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
13,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
14,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
15,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
16,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
17,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
18,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
19,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
20,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
21,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
22,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
23,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
24,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
25,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
26,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
27,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
28,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
29,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
30,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
31,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
32,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
33,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
34,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
35,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
