Marca,Modelo,Año,Carrocería,Combustible,Transmisión,Tracción,KM,Asientos,Color,Verificación,Precio
Tesla,Model 3,2018,Sedan,Eléctrico,Automática,4x4,44000,Cuero vegano,Red Multi-Coat,93.0,"$55,000"
Audi,Q5,2012,SUV,Gasolina,Automática,4x2,154000,Cuerro,Gris,,"$6,500"
Toyota,Corolla Sport Edition ,2019,Sedan,Gasolina,Automática,4x2,78000,Cuero,Azul Marino,95.0,"$17,500"
Nissan,Navara,2015,Pickup,Diesel,Automática,4x4,360000,Cuero,Gris plata,,"$14,000"
Hyundai,i20-Active,2017,SUV,Gasolina,Manual,4x2,114000,Algodón,Gris ratón,,"$7,500"
Nissan,Extrail,2013,SUV,Gasolina,Automática,4x2,190000,Tela,Negro,,"$6,500"
Kia,RIO,2016,Sedan,Gasolina,Automática,4x2,96000,Tela,Gris,,"$6,900"
Kia,RIO,2018,Sedan,Gasolina,Automática,4x2,120000,Tela,Azul,,"$8,999"
Kia,Cerato,2015,Sedan,Gasolina,Automática,4x2,170000,Tela,Negro,,"$7,700"
BMW,218i Gran Coupé,2020,Coupe,Gasolina,Automática,4x2,42000,Cuero,Blanco,,"$22,000"
Honda,Civic ,2016,Sedan,Gasolina,Automática,4x2,140000,Tela,Crema,,"$9,999"
Mini,Cooper,2020,Hatchback,Gasolina,Automática,4x2,30500,cuero suave,Negro,,"$19,250"
Mercedes-Benz,Mercedes AMG GLE 63s Coupe,2016,SUV,Gasolina,Automática,4x4,48000,cuero,gris,92.0,"$85,000"
Subaru,XV,2017,SUV,Gasolina,Automática,4x4,69000,cuero,Azul,,"$13,300"
Suzuki,Ciaz,2020,Sedan,Gasolina,Automática,4x2,85000,Tela,Gris,,"$8,500"
Hyundai,Tucson,2016,Pickup,Gasolina,Automática,4x2,65000,Tela,Gris,,"$10,500"
Tesla,Model X,2022,SUV,Eléctrico,Automática,4x4,6200,Cuero,Midnight Silver Metallic,95.0,"$89,000"
Nissan,Xtrail,2023,SUV,Gasolina,Automática,4x2,43000,Tela,Plateado,,"$26,500"
Renault,Captur,2018,SUV,Gasolina,Automática,4x2,98200,Tela,Blanco,,"$6,900"
BMW,318i,2017,Sedan,Gasolina,Automática,4x2,75000,CUERO,GRIS,,"$13,900"
Honda,Crv,2021,SUV,Gasolina,Automática,4x2,72000,Tela,Rojo,,"$23,100"
Audi,Q3,2012,SUV,Gasolina,Automática,4x4,69602,Cuero,Gris,,"$8,300"
Hyundai,Accent,2016,Sedan,Gasolina,Manual,4x2,107413,tela,plateado,,"$6,800"
Toyota,Corolla,2021,Sedan,Gasolina,Automática,4x2,52000,Tela,Rojo,,"$16,500"
Nissan,X-trail,2015,SUV,Gasolina,Automática,4x2,114169,Asientos de tela con forros de cuerinq,Negro,,"$8,500"
Mazda,CX-9,2016,SUV,Gasolina,Automática,4x4,94918,Cuero,Gris plateado,,"$12,950"
Hyundai,Tucson GLS Full,2022,SUV,Gasolina,Automática,4x2,49000,Cuero,Bronze,,"$28,000"
Toyota,Land Cruiser,2023,SUV,Diesel,Manual,4x4,3417,CUERO,GRIS,100.0,"$70,000"
Nissan,Rogue,2015,SUV,Gasolina,Automática,4x2,150000,Tela,Plateado,,"$8,500"
Acura,TLX,2016,Sedan,Gasolina,Automática,4x2,38111,Cuero,Gris,,"$17,500"
Mercedes-Benz,GLE 400,2016,SUV,Gasolina,Automática,4x4,67000,Cuero,Blanco,,"$20,000"
Hyundai,Grand i10,2020,Sedan,Gasolina,Automática,4x2,45000,Tela,Gris Raton,,"$10,000"
BMW,650i,2012,Convertible,Gasolina,Automática,4x2,52000,Cuero,Negro con interior chocolate cinnamon,,"$15,000"
mercedes,GLC 200,2020,SUV,Gasolina,Automática,4x2,48000,Cuero,Negro,,"$34,000"
Toyota,LAND CRUISER Prado,2012,SUV,Gasolina,Automática,4x2,120000,Cuero,Blanco,,"$22,500"
Hyundai,EON,2019,Hatchback,Gasolina,Manual,4x2,294000,Tela,Amarillo,,"$5,000"
Honda,Civic,2013,Coupe,Gasolina,Manual,4x2,87500,Tela,Rojo,,"$9,000"
Hyundai,Accent,2010,Sedan,Gasolina,Manual,4x2,141890,Tela,Blanco,,"$3,300"
Suzuki,Swift dzire,2020,Sedan,Gasolina,Automática,4x2,61280,Tela,Blanco,,"$8,990"
Geely,Coolray,2023,SUV,Gasolina,Automática,4x2,25000,Cuero,Gris,,"$19,200"
Subaru,Outback,2018,Wagon,Gasolina,Automática,4x4,95000,cuero,negro,,"$18,500"
Kia,K2700,2015,Pickup,Diesel,Manual,4x4,205627,Tela,Blanco,,"$8,500"
Lincoln,Aviator,2005,SUV,Gasolina,Automática,4x4,246000,Cuero,Gris,,"$4,000"
Honda,CR-V,2019,SUV,Gasolina,Automática,4x2,141000,Tela,Negros,,"$17,500"
Kia,Sportage Gt Line,2018,SUV,Gasolina,Automática,4x2,77000,Cuero,Negro,,"$14,900"
Mazda,CX-9,2018,SUV,Gasolina,Automática,4x4,67000,Cuero,Azul,,"$21,000"
Toyota,Tundra,2022,Pickup,Gasolina,Automática,4x4,16500,"Tela, off road",Gris,,"$69,900"
Toyota,Rav 4,2012,SUV,Gasolina,Automática,4x2,152000,Tela,Gris,,"$7,300"
Toyota,Yaris,2017,Sedan,Gasolina,Automática,4x2,152000,Cuerina Premium,Beige,,"$9,500"
Acura,MDX,2017,SUV,Gasolina,Automática,4x4,27000,Cuero,Blanco,,"$27,000"
Land Rover,Range Rover Vogue supercharged,2014,SUV,Gasolina,Automática,4x4,96000,Cuero,Negro,,"$25,000"
Land Rover,Range Rover Sport,2014,SUV,Gasolina,Automática,4x4,56000,Cuero,Blanco,,"$25,000"
Mazda,Cx5,2017,SUV,Gasolina,Automática,4x2,79500,Tela,Rojo,,"$14,900"
Toyota,tercel,1997,Sedan,Gasolina,Manual,4x2,300000,tela,blanco,,"$2,300"
Audi,A3,2015,Sedan,Gasolina,Automática,4x2,85000,Cuero,Blanco,,"$9,500"
Hyundai,EON,2014,Hatchback,Gasolina,Manual,4x2,139000,Cuero,Azul electrico,,"$3,200"
Ford,F150 Lariat,2017,Pickup,Gasolina,Automática,4x4,98000,Cuero,Gris,,"$34,000"
Nissan,Kicks,2024,Sedan,Gasolina,Automática,4x2,7000,Tela,Plata,,"$20,000"
Hyundai,Venue,2023,SUV,Gasolina,Automática,4x2,38000,Tela,Negro,,"$15,900"
BMW,X1,2016,SUV,Gasolina,Automática,4x2,56000,Cuero,Mineral grau,98.0,"$15,990"
Maserati,Levante S Negociable,2022,SUV,Gasolina,Automática,4x4,14430,Cuero,Grigio,,"$86,250"
Toyota,HILUX,2019,Pickup,Diesel,Automática,4x4,83000,Tela,Gris,,"$34,995"
Ford,F-150 Raptor,2014,Pickup,Gasolina,Automática,4x4,74000,Cuero,Negro,,"$33,500"
Ford,F150 Lariat,2017,Pickup,Gasolina,Automática,4x4,98000,Cuero,Gris,,"$33,000"
BMW,640,2013,Sedan,Gasolina,Automática,4x2,100000,cuero,negro,,"$9,700"
Kia,RIO HATCHBACK,2014,Hatchback,Gasolina,Automática,4x2,80500,TELA,AZUL,,"$7,000"
Toyota,Yaris S FULL,2020,Hatchback,Gasolina,Automática,4x2,101244,Tela,Blanco perla,,"$11,000"
Acura,MDX,2022,SUV,Gasolina,Automática,4x2,33000,Cuero,Gris,,"$49,995"
Hyundai,Tucson,2016,SUV,Gasolina,Automática,4x2,114203,Tela,Plateado,,"$10,900"
Mitsubishi,Asx,2013,SUV,Gasolina,Automática,4x4,152000,Tela,Negro,,"$7,700"
Suzuki,Vitara,2015,SUV,Gasolina,Automática,4x2,119000,Tela,Blanco,,"$8,540"
Ford,Figo,2020,Sedan,Gasolina,Automática,4x2,53000,Tela,Negro,,"$6,800"
Nissan,Xtrail,2021,SUV,Gasolina,Automática,4x4,80000,Cuero,Naranja,,"$23,500"
Acura,,2019,SUV,Gasolina,Automática,4x4,68000,Cuero rojo con negro,Blanco,,"$33,550"
Audi,Q3 Sportback,2014,SUV,Gasolina,Automática,4x2,107821,Cuero,Blanco,,"$8,500"
Ford,Ranger XL,2016,Pickup,Diesel,Manual,4x4,170000,Tela,Black,,"$14,750"
Ford,BRONCO SPORT,2023,SUV,Gasolina,Automática,4x4,19000,Tela,NARDO GRAY,,"$44,995"
Toyota,COROLLA SE,2022,Sedan,Gasolina,Automática,4x2,35,Tela,Negro,,"$24,995"
Mahindra,Pik Up 2.5,2016,Pickup,Diesel,Manual,4x4,57640,Tela,Blanco,,"$10,500"
Honda,Crv,2019,SUV,Gasolina,Automática,4x4,115000,Asientos de tela,Negro,,"$19,990"
hyudani,CRETA,2018,SUV,Gasolina,Automática,4x2,87500,TELA,BLANCO,,"$9,250"
Geely,Coolray,2023,SUV,Gasolina,Automática,4x2,27000,Cuero,Gris,,"$18,700"
BMW,218i Gran Coupé,2020,Coupe,Gasolina,Automática,4x2,42000,Cuero,Blanco,,"$20,000"
Peugeot,301,2015,Sedan,Gasolina,Automática,4x2,122000,Cuero,Blanco,,"$6,500"
Acura,ILX,2017,Sedan,Gasolina,Automática,4x2,45000,Cuero,Gris,,"$13,450"
Toyota,Rav 4,2017,SUV,Gasolina,Automática,4x2,49000,tela,gris ratón,,"$20,000"
Isuzu,ISUZU,1993,Pickup,Gasolina,Manual,4x2,0,Tela,Negro,,"$4,500"
Volkswagen,TIGUAN,2013,SUV,Gasolina,Automática,4x2,85776,Cuero,Negro,,"$6,500"
Chevrolet,Traverse,2022,SUV,Gasolina,Automática,4x2,37000,Cuero,Gris,,"$43,000"
Audi,Q3,2012,SUV,Gasolina,Automática,4x4,71000,Cuero,Gris,,"$7,500"
Jeep,Grand Cherokee Laredo,2020,SUV,Gasolina,Automática,4x4,37000,Cuero,Sting grey,,"$45,000"
Hyundai,Tucson,2010,SUV,Gasolina,Automática,4x2,215000,Tela,Plateado,,"$4,500"
Mazda,CX-9,2016,SUV,Gasolina,Automática,4x4,94918,Cuero,Gris plateado,,"$12,000"
Ford,Ford EDGE SEL,2013,SUV,Gasolina,Automática,4x4,108000,Cuero,Gris plateado,,"$7,900"
Mazda,Cx-5,2020,Coupe,Gasolina,Automática,4x4,29000,Tela,Negro,,"$20,000"
Jeep,WRANGLER,2024,SUV,Gasolina,Automática,4x4,14000,Tela,Gris,,"$59,995"
Audi,Q3,2016,SUV,Gasolina,Automática,4x2,128000,Cuero,Gris,,"$8,999"
Land Rover,Range Rover Evoque,2012,SUV,Gasolina,Automática,4x2,110000,Cuero,Roja,,"$11,600"
Hyundai,Tucson,2022,SUV,Gasolina,Automática,4x2,69900,Tela,Chocolate,,"$20,899"
Volkswagen,TIGUAN,2020,SUV,Gasolina,Automática,4x2,50000,Tela,Gris plata,,"$16,499"
Kia,RIO,2023,Sedan,Gasolina,Automática,4x2,58000,Tela,Blanco,,"$13,599"
Toyota,4Runner,2004,SUV,Gasolina,Automática,4x4,250000,Cuero,Negro,,"$9,000"
Audi,Q5,2015,SUV,Gasolina,Automática,4x4,74,Cuero,Blanco,,"$13,000"
Nissan,Kicks,2018,SUV,Gasolina,Automática,4x2,71000,Cuero,Azul,,"$15,000"
Subaru,WRX,2018,Sedan,Gasolina,Manual,4x4,65000,Tela,Blanco,,"$19,000"
Toyota,Prado TXL,2014,SUV,Gasolina,Automática,4x4,140000,Tela,Gris,,"$24,900"
Mitsubishi,Outlander Sport,2015,SUV,Gasolina,Automática,4x4,68750,Cuero,Rojo,,"$13,900"
Mitsubishi,Montero Sport,2017,SUV,Diesel,Automática,4x4,129000,Cuero,Negro,,"$26,900"
Chevrolet,Equinox EV,2020,SUV,Gasolina,Automática,4x2,15000,5,Gris,,"$15,900"
Ford,Ranger WILDTRAK,2019,Pickup,Diesel,Automática,4x4,2900,Cuero,Blanco,,"$36,900"
Ford,Mustang,2015,Coupe,Gasolina,Manual,4x2,67000,Cuero,Negro,,"$22,400"
Hyundai,EON,2017,Hatchback,Gasolina,Manual,4x2,84000,Cuerina,Azul,,"$3,500"
Dodge,Ram 1500,2015,Pickup,Gasolina,Automática,4x4,135800,Cuero,Blanco,,"$18,500"
porche,Cayenne,2016,Sedan,Gasolina,Automática,4x4,72000,Cuero,Gris,,"$30,000"
mercedes,ML55 AMG,2000,SUV,Gasolina,Automática,4x4,318650,Cuero,Rojo Vino,,"$4,500"
Honda,Odyssey,2014,SUV,Gasolina,Manual,4x2,55000,Cuero,Topaz,,"$14,950"
Nissan,QASQHAI,2019,SUV,Gasolina,Automática,4x2,28500,Tela,Azul,,"$16,500"
Honda,Civic Coupe,2013,Coupe,Gasolina,Manual,4x2,87500,Tela,Rojo,,"$9,000"
BMW,X1,2020,SUV,Gasolina,Automática,4x2,50000,Cuero,Azul Mediterráneo,,"$24,500"
Nissan,Versa,2020,Sedan,Gasolina,Manual,4x2,50108,Tela,Negro,,"$7,500"
Hyundai,i10,2016,Hatchback,Gasolina,Automática,4x2,97000,Tela,Blanco,,"$4,800"
Nissan,Almera,2005,Sedan,Gasolina,Automática,4x2,150000,Tela,Rojo Vino,,"$3,500"
Kia,Sportage ,2017,SUV,Gasolina,Automática,4x2,96000,"Tela, oscuros y áreas de cuero",Negro / gris,,"$12,999"
BMW,X5 3.OD,2014,SUV,Diesel,Automática,4x4,167000,cuero,crema,,"$18,000"
Jeep,Wrangler Unlimited,2018,SUV,Gasolina,Automática,4x4,78000,Tela,Beige,,"$25,000"
