Marca,Modelo,Año,Motor,Transmision,Combustible,Asientos,KM,Precio
Porsche,Panamera S,2012,V8,Automática,Gasolina,4 Pasajeros,1,"B/.16,900 (Rebajado 11%)"
BMW,X1,2011,6 CILINDROS,Automática,Gasolina,5 Pasajeros,1,"B/.6,900 (Rebajado 31%)"
Nissan,Kicks,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,68'000,"B/.12,900 (Rebajado 67%)"
Toyota,Prado,2021,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,38'000,"B/.55,500 (Rebajado 1%)"
Chevrolet,Tahoe,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,58'000,"B/.38,000"
Subaru,Forester,2014,4 CILINDROS TURBO,Automática,Gasolina,5 Pasajeros,95'000,"B/.12,950 (Rebajado 7%)"
Ford,Explorer,2021,2.3 Ecoboost 4CLY Turbo,Automática,Gasolina,7 Pasajeros,69'870,"B/.29,995"
Mazda,CX-5,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,103'976,"B/.15,500"
BMW,Serie 1,2017,¡Pregunta al anunciante!,Automática,Eléctrico,¡Pregunta al anunciante!,34'436,"B/.14,999"
Toyota,Land Cruiser,2015,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,73'277,"B/.32,999"
Honda,Odyssey,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,26'000,"B/.26,900"
Mitsubishi,ASX,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,55'000,"B/.16,900"
Honda,CR-V,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,72'000,"B/.18,995 (Rebajado 3%)"
Mercedes Benz,CLS 53,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,15'000,"B/.68,000"
Mitsubishi,Outlander,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,66'183,"B/.17,999"
Nissan,Pathfinder,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,74'044,"B/.8,999"
Suzuki,Vitara,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,7'808,"B/.17,999"
Ford,Explorer,2021,2.3 Ecoboost 4CLY Turbo,Automática,Gasolina,7 Pasajeros,69'870,"B/.29,995"
Mazda,CX-5,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,103'976,"B/.15,500"
Hyundai,Tucson,2016,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,167'382,"B/.8,500"
Nissan,Versa,2016,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,115'515,"B/.5,999"
Mercedes Benz,GLA-Class,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,73'061,"B/.18,999"
Nissan,Frontier,2022,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,1,"B/.17,999 (Rebajado 8%)"
Hyundai,Santa Fe,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,59'043,"B/.23,999"
Nissan,Frontier,2023,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,66'830,"B/.34,999 (Rebajado 5%)"
Honda,CR-V,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,5'499,"B/.38,999"
Toyota,Prado,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,94'818,"B/.27,999"
BMW,X5,2020,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,41'000,"B/.49,995"
Honda,CR-V,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,72'000,"B/.18,995 (Rebajado 3%)"
Mercedes Benz,CLS 53,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,15'000,"B/.68,000"
